group	numid	id	LocationText	Coordinates	Geolocation	LocationRelation	Precision	Certainty	url
Submission data	142	Maurice FitzMaurice		"52.402309862021305, -9.628663487621754"	Lixnaw Castle	Residence	Castle		
Submission data	145	Maoilsheachluinn O'Kelly	(Malachy)						
Submission data	143	Donal MacCarthy Reagh		"51.67552178247685, -8.679032758580476"	Kilbrittain	Residence	Castle	Moderately certain	
Submission data	144	William Wellesley							
Submission data	146	Turloch O'Brien of Ara							
Submission data	147	William O'Cormacan		"53.240746466431645, -8.058324987023699"	Clonfert Cathedral	Seat of authority	Cathedral	Very certain	
Submission data	148	Thomas O'Dwyer		"52.5547648658257, -8.029001639898715"	Dundrum Castle	Residence	Castle	Very certain	
Submission data	149	Philip O'Kennedy							
Submission data	150	Thomas Kildare	Limerick	"52.669900149141625, -8.625543760062053"	King John's Castle	Seat of authority	Castle	Very certain	
Submission data	151	Nicholas Slake		"51.210575282198946, -2.6434303599616404"	Wells Cathedral	Residence		Very certain	
Submission data	152	Cormac mac Dermot MacCarthy of Muskerry		"51.90520051539335, -8.96220776599217"	Macroom Castle	Residence	Castle	Moderately certain	
Submission data	153	Cormac mac Donal MacCarthy Reagh		"51.67552178247685, -8.679032758580476"	Kilbrittain	Residence	Castle	Moderately certain	
Submission data	154	John Galwey	Waterford	"52.26060981564144, -7.105420502725048"	"Reginald's Tower, Waterford"	Residence	Town	Very certain	
Submission data	156	William de Angel							
Submission data	157	William Clinton		"52.499434452258235, -1.6717643002108515"	Maxstoke Castle	Ownership	Castle	Moderately certain	
Submission data	158	[] Magawley		"53.42937897421557, -7.775565548067066"	Mount Temple	Residence	Castle	Moderately certain	
Submission data	159	Muirchertach Mageoghegan		"53.443415225674656, -7.489401350912528"	Castlegown Geoghegan	Residence	Castle	Moderately certain	
Submission data	160	[] Sionnach							
Submission data	161	Thomas MacHegh							
Submission data	162	Conor O'Melaghlin						Moderately certain	
Submission data	163	Gilla Isa O'Reilly		"53.9887817355458, -7.357948192232346"	Tullymongan Hill	Residence		Moderately certain	
Submission data	164	Maolmuire O'Reilly		"53.9887817355458, -7.357948192232346"	Tullymongan Hill	Residence		Very certain	
Submission data	165	Thomas O'Farrell		"53.71558456704111, -7.7181397682899116"	Lissardowlan	Residence	Castle		
Submission data	166	Thomas de Burgo						Very certain	
Submission data	167	Maelruanaidh MacDermot		"53.98956185474765, -8.232547955745472"	Rock of Lough Key	Residence	Castle	Very certain	
Submission data	138	Shane MacDermot							
Submission data	168	Tomaltach MacDonagh		"54.08791447559624, -8.519896161365837"	Ballymote Castle	Residence	Castle	Moderately certain	
Submission data	169	[] MacKeogh		"52.590900115704486, -6.500068251353481"	Ferns Castle	Overlord	Castle	Moderately uncertain	
